county,todays_date,hospitalized_covid_confirmed_patients,hospitalized_suspected_covid_patients,hospitalized_covid_patients,all_hospital_beds,icu_covid_confirmed_patients,icu_suspected_covid_patients,icu_available_beds
Yuba,05/05/2021,9,0,9,261,1,0,7
San Bernardino,17/08/2020,441,80,521,3851,130,16,138
Madera,06/01/2021,57,4,61,282,11,0,2
Sacramento,30/07/2021,204,22,226,2619,47,3,83
Kings,02/12/2020,58,1,59,193,11,0,7
Mariposa,03/08/2020,0,0,0,19,0,0,0
Ventura,20/02/2021,171,11,182,1150,43,0,38
San Joaquin,10/02/2021,153,12,165,914,58,1,9
Ventura,28/08/2021,139,6,145,1174,30,0,21
Amador,16/03/2021,1,0,1,53,1,0,0
Yuba,03/11/2020,3,0,3,265,1,0,1
San Joaquin,08/09/2020,89,18,107,1007,30,5,40
Nevada,30/07/2021,9,0,9,116,2,0,0
Tulare,09/04/2020,10,11,,,5,4,19
Santa Cruz,14/05/2020,1,0,1,397,0,0,13
Alameda,23/07/2021,132,33,165,2465,37,3,108
Plumas,27/05/2021,0,0,0,35,0,0,0
Kings,09/02/2021,63,0,63,137,11,0,3
Madera,26/11/2020,23,6,29,329,6,0,16
Orange,02/05/2020,215,107,322,5374,64,34,376
Mendocino,07/01/2021,12,0,12,120,4,0,6
Sacramento,23/08/2021,406,32,438,2641,111,8,74
Imperial,01/10/2020,23,0,23,259,6,0,10
Contra Costa,17/08/2020,97,29,126,1456,34,7,43
Tuolumne,17/08/2021,18,0,18,72,4,0,2
Kings,12/10/2020,19,0,19,193,2,0,14
Ventura,04/05/2021,28,5,33,1161,4,0,49
Sonoma,11/03/2021,21,1,22,677,10,0,14
Orange,06/10/2020,183,52,235,5822,64,7,214
Glenn,08/03/2021,0,0,0,47,0,0,0
Stanislaus,10/09/2020,125,30,155,1305,41,3,15
San Mateo,09/04/2020,58,14,,,18,2,39
Yuba,19/08/2021,51,4,55,261,17,0,4
Yuba,10/04/2020,2,8,,,1,0,7
Santa Clara,11/04/2021,90,13,103,2993,18,1,89
Glenn,10/03/2021,0,0,0,47,0,0,0
Ventura,12/08/2020,76,29,105,1319,26,6,40
Inyo,25/06/2021,0,0,0,29,0,0,2
Merced,19/04/2021,8,0,8,272,2,0,10
Mariposa,27/06/2021,0,0,0,14,0,0,0
Santa Clara,29/01/2021,487,8,495,3152,133,0,40
Tuolumne,11/08/2021,19,0,19,72,3,0,0
Modoc,24/06/2021,0,0,0,12,0,0,0
Nevada,21/06/2021,3,0,3,132,0,0,4
Riverside,11/09/2021,545,25,570,3450,145,1,57
Riverside,20/06/2020,297,69,366,3959,77,23,113
Yolo,10/07/2020,12,3,15,186,3,3,4
Tehama,08/05/2020,0,0,0,106,0,0,2
Santa Clara,15/02/2021,271,41,312,3062,93,6,69
Madera,08/05/2021,4,6,10,278,1,2,10
Yolo,31/08/2021,15,0,15,131,6,0,2
Los Angeles,31/08/2020,1048,415,1463,19746,321,62,954
Marin,19/07/2021,3,3,6,330,1,0,16
San Luis Obispo,11/10/2020,1,0,1,346,1,0,22
Santa Cruz,21/09/2020,15,0,15,276,2,0,10
Calaveras,29/09/2020,0,0,0,33,0,0,6
Tulare,21/02/2021,79,6,85,647,13,1,21
Mendocino,03/04/2021,1,0,1,85,1,0,4
San Diego,24/05/2020,310,60,370,6189,139,11,321
Siskiyou,02/07/2020,0,0,0,65,0,0,0
Inyo,24/02/2021,1,0,1,29,0,0,1
Kings,15/10/2020,13,1,14,193,2,0,14
Placer,29/07/2020,59,28,87,733,13,3,28
Sonoma,20/11/2020,24,7,31,575,6,3,5
Mono,24/09/2020,0,0,0,17,0,0,2
Sacramento,03/10/2020,87,29,116,2494,28,4,91
Calaveras,22/08/2020,4,2,6,33,2,0,5
El Dorado,28/12/2020,26,0,26,190,9,0,3
Tulare,01/10/2020,39,7,46,677,8,1,21
Yuba,07/09/2021,60,0,60,261,24,0,0
Modoc,27/05/2020,0,0,0,41,0,0,
Shasta,01/04/2021,9,0,9,567,2,0,20
Lassen,28/04/2020,0,0,0,25,0,0,
San Diego,08/04/2021,158,18,176,6454,57,1,267
Contra Costa,19/09/2020,51,25,76,1499,18,5,49
Stanislaus,14/08/2020,192,51,243,1308,55,8,13
San Bernardino,25/07/2020,638,100,738,4509,195,10,131
San Mateo,12/11/2020,23,9,32,737,3,1,38
Mariposa,30/05/2020,0,2,2,30,0,0,
Napa,20/05/2021,3,0,3,208,1,0,6
Alameda,18/12/2020,353,49,402,2529,92,9,70
Amador,11/08/2020,7,2,9,51,2,0,1
San Benito,16/07/2021,0,0,0,25,0,0,0
Trinity,31/10/2020,0,0,0,25,0,0,0
Contra Costa,27/05/2021,28,9,37,1308,8,0,38
Santa Cruz,10/03/2021,6,1,7,372,2,0,5
Mendocino,14/03/2021,2,0,2,105,0,0,3
Monterey,06/10/2020,25,1,26,702,6,1,22
Santa Cruz,13/11/2020,17,1,18,389,4,0,4
Merced,19/09/2020,9,0,9,253,6,0,9
Stanislaus,01/06/2020,22,11,33,1369,7,1,79
Sutter,14/08/2021,0,0,0,14,0,0,0
Fresno,02/01/2021,601,27,628,1529,130,1,11
Sutter,11/10/2020,0,0,0,0,0,0,0
Kern,04/05/2021,17,8,25,946,6,0,42
San Mateo,08/07/2020,51,9,60,1050,14,1,64
Napa,15/06/2021,4,0,4,197,3,0,3
San Bernardino,01/07/2020,428,88,516,4564,151,19,95
Riverside,04/08/2020,411,100,511,3247,134,20,79
Santa Clara,04/06/2021,39,16,55,3063,12,1,57
Solano,20/09/2020,26,10,36,593,5,0,9
Sacramento,17/08/2020,250,44,294,2533,81,7,110
Plumas,22/10/2020,0,0,0,35,0,0,0
Alameda,02/10/2020,76,34,110,2380,27,4,103
San Joaquin,08/07/2021,37,3,40,927,9,0,11
Orange,03/12/2020,746,64,810,6088,195,6,133
Ventura,17/07/2021,39,5,44,1128,6,1,45
Kern,28/09/2020,71,3,74,1304,14,0,68
Imperial,13/06/2020,78,8,86,237,18,0,0
Santa Clara,01/10/2021,116,15,131,3119,32,0,80
Merced,12/09/2021,52,0,52,271,11,0,4
Merced,11/01/2021,58,0,58,271,15,0,3
Del Norte,28/09/2021,4,0,4,47,3,0,0
Imperial,28/03/2021,6,0,6,234,2,0,8
Tehama,01/05/2020,0,0,0,106,0,0,3
Siskiyou,23/09/2020,1,0,1,56,0,0,8
Solano,30/04/2020,11,12,23,592,5,3,57
Nevada,29/09/2021,18,0,18,120,4,0,1
Humboldt,30/08/2020,1,1,2,268,1,1,2
Riverside,30/03/2020,60,133,,,22,33,77
Del Norte,31/03/2021,1,0,1,52,1,0,2
Tuolumne,15/06/2020,0,0,0,151,0,0,2
Santa Clara,08/09/2021,210,10,220,3008,61,1,38
Merced,02/09/2021,48,2,50,271,13,0,9
Tuolumne,22/03/2021,2,0,2,84,0,0,2
Calaveras,25/09/2021,2,0,2,33,1,0,2
Madera,12/08/2021,21,2,23,278,5,0,6
Placer,29/03/2020,18,14,,,4,1,10
Solano,29/04/2021,30,8,38,560,3,1,19
Sutter,21/10/2020,0,0,0,14,0,0,0
San Benito,24/06/2020,0,0,0,25,0,0,1
Mendocino,01/03/2021,5,0,5,107,2,0,3
Plumas,27/03/2021,0,0,0,35,0,0,0
Riverside,29/11/2020,585,81,666,3417,129,15,47
Mariposa,30/06/2020,0,0,0,30,0,0,
Yolo,12/05/2021,2,0,2,127,1,0,4
Marin,03/07/2020,28,3,31,392,8,0,11
Tehama,12/04/2020,0,3,,,0,0,6
Sacramento,12/06/2021,62,16,78,2564,15,1,80
San Benito,06/09/2021,6,0,6,25,3,0,0
San Luis Obispo,07/03/2021,15,1,16,460,4,0,25
Nevada,05/10/2020,4,0,4,133,2,0,3
Tulare,31/10/2020,40,5,45,685,4,0,19
Riverside,18/06/2021,35,15,50,3310,6,1,101
Napa,13/10/2020,1,3,4,351,0,0,24
Santa Cruz,05/05/2020,2,1,3,397,0,1,12
Mono,21/01/2021,1,0,1,17,0,0,2
Nevada,23/06/2021,6,0,6,142,1,0,2
Napa,16/05/2021,4,0,4,200,0,0,2
Monterey,14/03/2021,39,0,39,720,6,0,19
Shasta,24/09/2020,5,0,5,561,2,0,7
Humboldt,13/05/2021,11,0,11,274,4,0,5
Imperial,16/08/2020,35,1,36,259,14,0,8
Butte,19/11/2020,24,1,25,453,3,0,14
Alameda,25/02/2021,168,19,187,2466,46,1,87
Tuolumne,23/06/2020,1,0,1,151,0,0,5
Sonoma,13/06/2021,11,3,14,642,4,0,20
Mariposa,09/07/2020,0,0,0,33,0,0,
Santa Clara,05/04/2020,166,69,,,68,18,90
El Dorado,28/03/2021,2,0,2,190,2,0,3
Sonoma,19/02/2021,41,1,42,670,14,0,23
Kern,03/03/2021,127,9,136,1127,34,8,30
Merced,22/05/2020,6,1,7,242,4,0,4
Del Norte,25/09/2020,0,0,0,52,0,0,1
Solano,07/05/2020,10,15,25,707,7,3,39
Glenn,16/06/2021,0,0,0,47,0,0,0
Ventura,11/12/2020,152,11,163,1213,54,2,36
Yuba,11/07/2020,21,0,21,445,4,0,14
Del Norte,01/06/2021,2,0,2,53,0,0,2
Lake,30/01/2021,7,0,7,62,3,0,2
San Bernardino,24/07/2021,208,29,237,3618,41,2,160
Amador,15/07/2021,0,0,0,53,0,0,1
Alameda,04/06/2021,30,28,58,2475,7,7,121
Imperial,25/04/2020,24,8,32,249,8,1,5
San Joaquin,14/06/2020,49,25,74,1366,16,2,10
Yuba,30/03/2020,3,17,,,2,4,10
Napa,11/10/2020,2,4,6,200,2,0,9
Santa Clara,16/09/2020,103,15,118,3086,42,1,85
Santa Clara,19/07/2020,157,47,204,3432,45,4,196
Merced,09/11/2020,9,0,9,271,5,0,5
Tehama,06/02/2021,12,0,12,59,3,0,1
Siskiyou,31/08/2021,12,0,12,56,2,0,2
Kern,13/06/2020,79,28,107,1742,33,4,78
El Dorado,03/02/2021,9,0,9,190,2,0,6
Plumas,05/05/2020,0,2,2,45,0,0,
Sacramento,09/09/2021,370,20,390,2690,95,5,68
Shasta,17/08/2021,68,0,68,561,15,0,14
Fresno,16/05/2021,68,11,79,1498,21,2,12
Siskiyou,15/09/2020,0,1,1,56,0,0,9
San Francisco,22/11/2020,47,2,49,1852,14,2,67
Imperial,20/05/2020,80,3,83,214,22,0,8
Santa Cruz,27/04/2020,2,1,3,354,1,0,3
Lake,03/09/2021,18,0,18,61,4,0,0
Lassen,28/07/2020,0,0,0,25,0,0,0
Riverside,06/08/2020,409,106,515,3391,125,14,87
Sacramento,07/06/2020,33,26,59,2399,14,8,90
San Mateo,21/01/2021,175,7,182,743,40,1,10
San Joaquin,02/04/2021,61,11,72,905,18,1,12
Orange,10/05/2020,230,78,308,6836,81,21,353
Solano,23/09/2020,24,24,48,565,3,2,8
El Dorado,28/06/2020,1,3,4,235,1,3,6
Amador,13/06/2021,1,0,1,53,0,0,0
Sonoma,15/03/2021,26,1,27,669,8,0,17
Siskiyou,08/11/2020,2,0,2,56,0,0,7
Yuba,22/10/2020,8,0,8,265,0,0,11
Ventura,17/04/2021,27,5,32,1148,2,0,62
Marin,03/10/2021,14,2,16,330,4,0,9
Los Angeles,13/03/2021,893,156,1049,19192,251,22,590
Marin,28/08/2020,14,1,15,321,1,0,12
Siskiyou,27/05/2021,5,0,5,56,1,0,1
Lassen,07/12/2020,6,0,6,25,0,0,0
Tulare,20/04/2021,20,11,31,667,5,1,23
Riverside,03/05/2021,68,18,86,3201,17,5,97
Yuba,26/08/2021,54,0,54,261,19,0,2
Inyo,19/07/2021,0,0,0,29,0,0,2
San Luis Obispo,11/07/2021,8,0,8,460,0,0,20
San Francisco,19/09/2021,72,4,76,2145,26,1,89
San Luis Obispo,11/02/2021,30,0,30,460,6,0,16
Trinity,23/08/2020,0,0,0,25,0,0,0
Los Angeles,01/01/2021,7544,280,7824,20331,1587,27,325
San Diego,01/06/2021,102,13,115,6470,43,2,287
Santa Barbara,29/06/2020,62,8,70,717,19,2,79
Mariposa,11/05/2021,0,0,0,14,0,0,0
Lake,03/07/2021,2,0,2,64,1,0,0
Calaveras,06/05/2020,0,0,0,50,0,0,12
Trinity,29/07/2021,0,0,0,25,0,0,0
San Mateo,14/07/2020,59,18,77,1057,12,2,55
Plumas,21/02/2021,0,0,0,35,0,0,0
Stanislaus,03/06/2021,65,12,77,1305,14,1,36
Sonoma,24/09/2021,46,0,46,695,15,0,15
Lassen,15/04/2020,0,6,,,0,0,
San Joaquin,18/06/2021,31,4,35,902,8,0,18
Calaveras,27/02/2021,1,0,1,33,1,0,5
Plumas,04/04/2021,0,0,0,35,0,0,0
Amador,23/09/2021,11,0,11,53,6,0,0
Los Angeles,21/10/2020,769,290,1059,20077,221,34,774
Orange,25/06/2020,451,95,546,6976,166,23,383
Los Angeles,21/09/2021,991,113,1104,19246,305,20,557
Mendocino,19/05/2021,4,0,4,119,2,0,6
Del Norte,23/05/2020,0,0,0,51,0,0,0
Monterey,01/06/2020,9,0,9,811,4,0,100
Sonoma,31/05/2020,5,44,49,871,2,8,48
Stanislaus,16/09/2020,99,32,131,1305,33,3,27
